timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1610546874.047,-168.457,39.062,-22.461,-312.988,-44.434,0
1610546874.051,-318.848,38.086,-316.406,-1000.000,-130.371,0
1610546874.055,-105.957,36.621,-100.098,-216.309,-117.676,0
1610546874.072,270.508,37.109,244.629,875.000,-106.934,0
1610546874.076,273.926,36.621,291.504,888.184,-113.281,0
1610546874.080,-129.883,35.645,20.508,-149.414,-80.566,0
1610546874.084,-338.379,34.180,-239.746,-992.188,-99.609,0
1610546874.088,-147.949,33.203,-108.398,-353.027,-41.504,0
1610546874.092,228.516,30.273,162.109,771.973,-31.250,0
1610546874.096,286.621,30.762,296.875,945.801,-12.695,0
1610546874.099,-74.219,37.109,109.375,-26.367,-14.160,0
1610546874.103,-324.219,33.691,-223.145,-993.164,-46.875,0
1610546874.107,-181.152,30.762,-254.395,-538.574,-36.621,0
1610546874.111,200.684,34.180,100.586,642.090,-47.852,0
1610546874.115,322.754,37.598,390.137,-992.676,-81.055,0
1610546874.117,-27.344,41.016,152.832,123.047,-66.895,0
1610546874.121,-308.594,42.480,-221.191,-925.781,-75.195,0
1610546874.125,-207.031,45.898,-191.895,-653.809,-85.938,0
1610546874.129,145.996,39.551,169.434,519.043,-18.555,0
1610546874.133,339.355,32.715,332.520,-937.012,-21.484,0
1610546874.137,35.156,37.598,96.680,287.109,-77.148,0
1610546874.141,-302.734,38.574,-217.285,-841.797,-80.566,0
1610546874.144,-249.023,34.668,-211.426,-749.512,-80.078,0
1610546874.148,103.027,25.391,45.410,391.113,-96.680,0
1610546874.152,346.680,20.996,222.168,-915.527,-105.957,0
1610546874.156,81.055,31.738,222.656,440.918,-24.902,0
1610546874.160,-280.273,34.668,-91.309,-729.492,-3.418,0
1610546874.162,-278.320,29.297,-293.457,-820.801,-83.496,0
1610546874.166,43.945,28.320,20.996,266.113,-30.273,0
1610546874.170,332.031,27.832,351.074,-926.758,-45.898,0
1610546874.174,122.559,31.250,245.605,551.270,-90.820,0
1610546874.178,-256.348,38.086,-107.910,-622.559,-38.086,0
1610546874.182,-302.246,31.250,-308.105,-913.086,-62.500,0
1610546874.186,-8.789,25.391,-71.777,78.125,-118.164,0
1610546874.189,322.266,29.297,311.523,-974.609,-70.312,0
1610546874.193,186.523,30.762,202.148,674.316,-26.367,0
